"","ECS"
"1",2.69172347071718
"2",2.65636404759593
"3",2.48774226867947
"4",2.88370251131911
"5",7.28557547837612
"6",4.51424687400471
"7",3.15958613382316
"8",2.12412544584442
"9",3.72610365091751
"10",2.37287603799681
"11",3.46935234142822
"12",3.60272949004161
"13",4.8967080907151
"14",2.93426330709217
"15",3.91397495380423
"16",6.65061346324871
"17",1.52344527760893
"18",4.43133223186567
"19",3.07970574702835
"20",3.32337339868521
"21",5.26135088251139
"22",3.6169099451409
"23",1.02582318585159
"24",6.2965156009893
"25",2.86635798905259
"26",4.77087719314587
"27",4.13369186061032
"28",3.33478428684738
"29",5.97491345208887
"30",4.26681296814875
"31",4.8411484581424
"32",3.58014954201906
"33",7.48412847832839
"34",3.11825610008015
"35",4.49605043784757
"36",5.58908315634321
"37",4.31607505179706
"38",4.66497816294125
"39",5.49565055059849
"40",5.96172287541021
"41",3.40899501601231
"42",3.08352604185597
"43",3.88184570081878
"44",3.59929759450095
"45",5.97575235840687
"46",2.48335033637678
"47",3.83551380295606
"48",3.01906454485418
"49",3.86485939813978
"50",5.60158582357572
"51",4.07586925935582
"52",2.14559285042799
"53",2.837732116631
"54",3.95876822366187
"55",3.26971810530629
"56",3.04734997199392
"57",4.94444093359166
"58",3.73173486479216
"59",2.594708488496
"60",3.62120786722634
"61",3.68812004425901
"62",3.30890904758544
"63",3.11034696050631
"64",4.04933909518202
"65",2.63096485592248
"66",5.78833120418902
"67",5.46575064653256
"68",4.1411889118612
"69",3.94728069509485
"70",2.37530499190325
"71",2.84799822345798
"72",3.34393174917455
"73",3.13632147739809
"74",4.36208527533652
"75",3.27376138595913
"76",4.90717792244457
"77",4.09428288278389
"78",4.63780791505172
"79",4.09870968551285
"80",3.44306124173335
"81",3.16709250657447
"82",6.4421674508621
"83",2.48976314365029
"84",2.84295666226926
"85",4.33441445103237
"86",5.97775298636765
"87",4.08504901957201
"88",2.75051355868436
"89",3.46547943290792
"90",2.12883219402819
"91",2.06519092149854
"92",2.91871610060936
"93",2.73997888593007
"94",3.27142126492385
"95",2.27745937083243
"96",2.1487618820473
"97",2.325048491572
"98",2.55487763664261
"99",2.19082452187855
"100",2.15369729893922
"101",1.78444851575211
"102",3.40713826071763
"103",4.94956878549994
"104",3.418172176292
"105",1.94895308696148
"106",2.19023000377299
"107",4.26840802782374
"108",3.01434533455993
"109",2.88693073315773
"110",2.5874783949229
"111",2.86006041612904
"112",2.37925221088932
"113",3.27768259939669
"114",3.88362000595099
"115",3.41419389629107
"116",2.67574124470081
"117",4.93501027317732
"118",3.22407240751417
"119",3.64334856479884
"120",6.12344507340344
"121",2.6881915624386
"122",3.20674235409898
"123",3.70188746201037
"124",3.26603625407198
"125",2.95308625913654
"126",5.10164185377704
"127",4.20366764443269
"128",2.2086693382058
"129",2.66039917162452
"130",4.303448357428
"131",5.87219050893321
"132",3.01069903637342
"133",2.08092243495054
"134",4.08432892938435
"135",4.85992901380338
"136",3.97939801513174
"137",5.06489334650964
"138",3.237055869182
"139",3.59208246813369
"140",3.97800468810615
"141",2.99114486565185
"142",2.54947848174863
"143",2.37618305845961
"144",2.69254357034081
"145",3.79639045936601
"146",4.06145734857091
"147",3.03698737418298
"148",3.85100404568827
"149",2.79200693518028
"150",4.76421104203062
"151",2.37117676703056
"152",4.63181993901131
"153",3.82290657309005
"154",4.2398142292713
"155",3.1809784212574
"156",2.25967286653023
"157",4.43261989761591
"158",5.95150960434475
"159",3.36155454587713
"160",2.70223913923383
"161",2.83454026849144
"162",2.6159880106955
"163",3.38554063290237
"164",2.45022244260026
"165",2.9171761162681
"166",4.66950755943442
"167",3.14941763494137
"168",5.51442996989719
"169",3.65669007500096
"170",2.67638307861982
"171",3.74605352184898
"172",5.31172663640095
"173",4.46451444578076
"174",2.52628846259322
"175",5.69458330656922
"176",3.40935795748334
"177",3.86093697151746
"178",3.30364019770914
"179",3.50795647629909
"180",3.46446003383333
"181",3.98531602928311
"182",3.43366550692802
"183",4.33130342971151
"184",2.34068848127195
"185",6.71907100142843
"186",2.71924855646671
"187",4.9091834418554
"188",3.00229805161215
"189",1.20501680944195
"190",3.41256407570072
"191",2.5774423658773
"192",6.982548784383
"193",3.31978882085633
"194",5.34511095497878
"195",2.83569501858888
"196",6.19857252267015
"197",2.38838334111142
"198",2.30545283724367
"199",2.1572687595484
"200",3.91403317415681
"201",3.47442653798531
"202",5.69609378584441
"203",2.3330440229461
"204",2.57328632824147
"205",3.811737495167
"206",6.25770853145068
"207",3.74866391056168
"208",2.27540132833898
"209",4.77366046236774
"210",5.94924618024988
"211",1.61097236853355
"212",1.87702615501644
"213",5.88098294342232
"214",3.03491916355032
"215",2.13535180536441
"216",5.86382067206595
"217",4.5227304324277
"218",3.5337467464094
"219",2.01365428971712
"220",2.2594143792474
"221",3.15629690917678
"222",2.27969219587818
"223",7.38752268490338
"224",3.50410501429507
"225",2.9486114423663
"226",5.84245959364281
"227",4.52713936336476
"228",3.97838066739083
"229",3.30543015421995
"230",4.60870669699041
"231",3.18807349563555
"232",1.92802554497155
"233",2.33945154612021
"234",3.82471069018015
"235",4.49411812650237
"236",4.31976001851271
"237",3.31320361749426
"238",3.29910993701535
"239",4.76984002321112
"240",2.00443621704498
"241",3.24769331406679
"242",2.17887169831223
"243",4.43491190177466
"244",3.99546475405444
"245",3.24298386204981
"246",5.57177333023181
"247",3.82606938643772
"248",5.12895605557556
"249",5.71962142885475
"250",4.03308105716767
"251",4.12696778851185
"252",6.59551240648729
"253",3.84485298117839
"254",5.93741991130249
"255",2.37246520444807
"256",3.31412425170873
"257",3.18617718381766
"258",4.15968243275783
"259",3.16425138501168
"260",4.64100414045123
"261",2.60463527002355
"262",2.70484429424058
"263",2.47970319725059
"264",2.75449294394729
"265",2.37515463239367
"266",2.07921405282871
"267",4.34837155108524
"268",4.27147232671469
"269",3.39106653446364
"270",3.18886093678812
"271",2.6507861678028
"272",3.84134874300212
"273",4.21872128727421
"274",2.45921508622858
"275",3.35752538691429
"276",2.66131036953192
"277",1.88241328808703
"278",3.95106762024635
"279",3.435624675947
"280",3.96028603337727
"281",3.37297486381678
"282",1.35730321374793
"283",2.70998881164481
"284",2.41880086251415
"285",3.97903610887197
"286",3.73536845822078
"287",2.79546834928459
"288",4.88523448456959
"289",2.62032957390061
"290",1.66923213140489
"291",2.29492581686724
"292",4.00958151791196
"293",3.2065301104006
"294",4.78959577742126
"295",3.66970586514492
"296",4.25762513479241
"297",3.16714793638411
"298",7.01209530259936
"299",3.93093393329057
"300",5.29253160958131
"301",5.3657345691981
"302",5.74798176944518
"303",3.47270425291817
"304",4.19432149217896
"305",2.38275157841379
"306",2.71502859308429
"307",2.82405903475812
"308",4.49247339493998
"309",5.91495330518051
"310",5.88378098608516
"311",1.93827309794697
"312",1.88403433038973
"313",3.64198256665025
"314",2.36392106127076
"315",3.79378174167786
"316",1.65969277708798
"317",3.54099460748519
"318",2.53015324212328
"319",2.17965746395954
"320",5.27100043663996
"321",3.28592185337262
"322",2.15339279273481
"323",5.4347557748433
"324",5.08696169753111
"325",4.3530766160585
"326",4.98157848935303
"327",5.13546027180618
"328",2.81943232481838
"329",7.00670531002814
"330",4.59339800419151
"331",5.90962687064268
"332",5.83266764203584
"333",6.15677123123941
"334",5.58599348618047
"335",2.01714236262378
"336",3.27711042745261
"337",2.46833252012523
"338",6.75596026451397
"339",4.14106883065381
"340",1.74659477167499
"341",3.63334978120171
"342",2.3587772581648
"343",3.50973638489992
"344",2.0733111311297
"345",2.15414293196674
"346",2.82732517436683
"347",2.93820028109758
"348",2.92238201395152
"349",1.57103441166577
"350",3.81446305896171
"351",3.86335166190602
"352",3.41490243239295
"353",4.52583880156933
"354",3.06349631741801
"355",4.1251961610256
"356",3.33869714517923
"357",3.77994090848047
"358",3.2650563127501
"359",3.39446442735869
"360",3.61804902631362
"361",2.83493044420435
"362",1.75424845994413
"363",3.81980703427053
"364",5.7707332378646
"365",2.56011743464945
"366",2.29620668150291
"367",3.4228639616828
"368",4.81374789721218
"369",3.05269571741411
"370",2.00598101452407
"371",1.47977456249908
"372",3.81025103007476
